key,sweep,arm,family,epoch,train_total,train_data,val_total,val_data,val_phys,val_ou,val_bc,val_sr,lr,grad_norm,spike_rate,time_s,marginal_frac,mean_vth_at_spike,mean_spike_margin,rec_spectral_radius,prodigy_d,prodigy_lr_eff,val_T_tracking_corr,val_v0_nrmse,val_v0_intra_std,val_v0_pred_mean,val_T_nrmse,val_T_intra_std,val_T_pred_mean,val_s0_nrmse,val_s0_intra_std,val_s0_pred_mean,val_a_nrmse,val_a_intra_std,val_a_pred_mean,val_b_nrmse,val_b_intra_std,val_b_pred_mean
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,1,0.5604891830682754,0.4821795715391636,0.42617914365961196,0.3789283873394449,0.16630663213498414,0.02286691549840938,0.02841933959088566,0.002114814245783858,0.0004995076687428538,1.5589174085855484,0.17335783856663298,77.80055332183838,,,,,nan,nan,-0.010543428361415863,0.277722259370816,2.881836015017743,33.63942918371647,0.22294246710764645,0.10470351836386513,0.890628363857878,0.19697147790781222,0.4045056990803556,2.795009322622989,0.2783112442386281,0.09379024001115814,0.6013390031900812,0.1643219371183581,0.18560176469544146,1.3653120988226952
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,2,0.4528655794262886,0.4180072210729122,0.3578901460513155,0.34145036791550354,0.123490246389299,0.01989186391422644,0.0008601182250284647,0.004472081252203266,0.0004980326179779622,1.583300454467535,0.2003358231580004,75.94837069511414,,,,,nan,nan,-0.022180821746587753,0.3282971681692695,2.571116083321419,35.92582173043109,0.2341371767303098,0.09694435417731391,0.838323287507321,0.14925121270880884,0.3086136660360275,2.086323512995497,0.25755035110277247,0.10152932129641797,0.6448586404006532,0.21350564144156092,0.1565757100569441,1.1054789452476705
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,3,0.35429471358656883,0.33765792563557623,0.3321544674641274,0.3166102221671571,0.10862325749142056,0.027740131454304495,0.0010327389750176387,0.004524348496038533,0.0004955806690568078,1.2441947197914123,0.1999071230517423,75.01305556297302,,,,,nan,nan,-0.0368441604077816,0.3451753164756114,2.4071095860067833,36.83279659392986,0.18811840774468766,0.11779277965902014,0.9861566028062333,0.14363320949628436,0.33152073368113094,2.247284488475069,0.2841323383705578,0.0780169047970087,0.5530498929797335,0.18797441433967063,0.17771516819583608,1.2782137282985322
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,4,0.3534517325460911,0.33750304400920866,0.3260847930895521,0.31084048644976414,0.10195958306220301,0.02484445727648253,0.0013236771262703033,0.004964898089357493,0.0004921614987015933,1.2437396785616874,0.20293269013153745,75.4718906879425,,,,,nan,nan,-0.017472127452492714,0.3172039677615027,2.6207611139150377,35.358971007326815,0.2092479587764769,0.11043273023468383,0.9060099283431439,0.1489407744864396,0.3276447096562132,2.223913823670529,0.2616211895087098,0.08994095707114072,0.6142156090825162,0.18335383146415848,0.21124747205287853,1.6007175369465605
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,5,0.33219936192035676,0.3172711108624935,0.3163651002055787,0.3014941444580859,0.0977929352108944,0.03405407074085893,0.0012512633253073603,0.004275394013128853,0.00048778860081564074,1.1003179454803467,0.19687171728211514,74.47857427597046,,,,,nan,nan,-0.015992827713489532,0.35103460110240764,2.354428518880555,36.97144032539205,0.1771789560283542,0.1317796142811471,1.0221499534363443,0.14746862065318755,0.3348226137459278,2.2890696056345674,0.2844607608755665,0.0758802424026455,0.5477064717957314,0.20570344030857593,0.2098243186607006,1.6701037160893704
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,6,0.3165373107790947,0.3027960760891438,0.3001062938983136,0.2864218549208438,0.08727805420478925,0.035713325413142115,0.0013241714691212883,0.003693592106250534,0.00048247923322911865,1.0231282013654708,0.18971187240899878,74.79683589935303,,,,,nan,nan,0.0012187908869236708,0.35558595067764703,2.3909829392078077,37.06452605064879,0.1694138037418069,0.13671914190846554,1.0600219527457624,0.21762310367375587,0.23522509277818052,1.7214880630056908,0.27659194427344724,0.08278742961664783,0.5674528151433519,0.1885398082032421,0.2075970989275486,1.6130454774866714
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,7,0.3135333324968815,0.2998889817297459,0.29866433096058825,0.2845626470256359,0.08433472623731544,0.03208659047835526,0.002640379198442617,0.0028470029926460096,0.00047625434959027184,1.2016335971653462,0.1792576559918358,74.30978584289551,,,,,nan,nan,0.02378336898982525,0.37573797369135264,2.1654599638695413,38.124327263933544,0.17134963316995838,0.1307533890246711,1.0334651191183861,0.24570045311403357,0.20748402935234792,1.6028538967700714,0.24748739112912824,0.10704768143911311,0.6538487664879636,0.21911915590383937,0.19155198335647583,1.7627885398712564
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,8,0.30811571449041364,0.29535058215260507,0.29543411113480306,0.2833662419084539,0.08580111450654396,0.03652883254665327,0.0006785297025396267,0.0019655722010147965,0.0004691385166709439,1.055732623785734,0.1643949992003593,74.68758964538574,,,,,nan,nan,0.04116887226700783,0.39543814213342265,1.925104150271162,39.054785566127045,0.14906903643733657,0.1402694117674168,1.2399096780634942,0.27727075389483574,0.15843741552151264,1.4340124307794775,0.2575627164687182,0.10404679383289941,0.6298761867145275,0.1484074913059684,0.18040199649143726,1.535469339248982
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,9,0.2828704777359963,0.2719335669279099,0.28396059216019953,0.2719177646522826,0.07860224346253783,0.03793747667619522,0.001528601450290614,0.0015142566047090108,0.0004611598174127527,0.8500357849895954,0.14771419989460327,75.32036638259888,,,,,nan,nan,0.05749545991420746,0.3257056937234857,2.393403696094422,35.92381092842589,0.14898663869508075,0.1434830266665271,1.2804566520325682,0.17367783597503694,0.28605738290129823,1.9940455505188475,0.25881393346057663,0.09979061259234205,0.6225039629226036,0.1734209391873337,0.17903251343585075,1.673757903753443
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,10,0.3164701794087887,0.3037402446568012,0.2984804245544241,0.2867510822859216,0.08792458034734776,0.032004850976010586,0.000546566857490887,0.0015801496694356299,0.0004523497400965493,35.33470435962081,0.14556279084942442,76.10347890853882,,,,,nan,nan,0.07532564550638199,0.4111066615015576,1.69733698467942,39.75632817694481,0.1464325498117028,0.12955516212164087,1.1535793203622737,0.268947568075627,0.16156881708810303,1.4633537955740665,0.2865907967045679,0.08426048038923677,0.549297904397579,0.17340340952728,0.16788243335929323,1.523116187846407
